date, pm25, pm10, o3, no2, so2, co
2024/11/1, 57, 24, 35, 9, 2, 4
2024/11/2, 47, 38, 39, 12, 9, 4
2024/11/3, 75, 35, 35, 11, 4, 4
2024/11/4, 82, 34, 29, 8, 4, 3
2024/11/5, 77, 39, 45, 8, 3, 3
2024/11/6, 82, 35, 41, 10, 5, 3
2024/11/7, 67, 42, 38, 15, 9, 4
2024/11/8, 73, 39, 34, 13, 5, 4
2024/11/9, 78, 44, 22, 14, 3, 5
2024/11/10, 95, 42, 30, 13, 3, 4
2024/11/11, 92, 39, 30, 11, 5, 2
2024/11/12, 71, 24, 25, 7, 7, 2
2024/11/13, 54, 25, 20, 7, 2, 3
2024/11/14, 54, 30, , 10, , 3
2024/11/15, 76, , , , , 
2024/10/1, 40, 18, 32, 4, 2, 
2024/10/2, 15, 25, 40, 5, 2, 3
2024/10/3, 44, 26, 44, 8, 2, 3
2024/10/4, 57, 24, 37, 7, 2, 4
2024/10/5, 69, 29, 35, 8, 3, 4
2024/10/6, 73, 29, 34, 8, 2, 4
2024/10/7, 68, 34, 34, 11, 3, 6
2024/10/8, 67, 26, 27, 7, 2, 6
2024/10/9, 63, 27, 31, 9, 3, 6
2024/10/10, 59, 33, 34, 12, 3, 6
2024/10/11, 67, 42, 52, 12, 5, 6
2024/10/12, 76, 36, 39, 12, 2, 5
2024/10/13, 79, 37, 44, 12, 2, 5
2024/10/14, 82, 38, 42, 9, 2, 5
2024/10/15, 84, 24, 33, 7, 2, 4
2024/10/16, 51, 33, 32, 11, 2, 5
2024/10/17, 64, 37, 38, 13, 2, 5
2024/10/18, 69, 37, 39, 10, 4, 4
2024/10/19, 75, 32, 29, 7, 2, 5
2024/10/20, 72, 23, 30, 7, 2, 4
2024/10/21, 54, 25, 29, 7, 3, 4
2024/10/22, 54, 17, 30, 5, 2, 5
2024/10/23, 26, 31, 39, 12, 3, 5
2024/10/24, 63, 32, 39, 11, 3, 4
2024/10/25, 70, 33, 35, 9, 3, 5
2024/10/26, 85, 41, 23, 9, 2, 6
2024/10/27, 106, 10, 23, 5, 2, 5
2024/10/28, 22, 16, 22, 7, 3, 5
2024/10/29, 44, 30, 35, 10, 4, 6
2024/10/30, 61, 29, 31, 7, 4, 5
2024/10/31, 70, 19, 27, 4, 2, 4
2024/7/1, 64, 24, 18, 6, , 2
2024/7/2, 37, 23, 25, 5, 2, 2
2024/7/3, 29, 24, 29, 6, 2, 3
2024/7/4, 46, 24, 2, 9, 3, 3
2024/7/5, 35, 22, 27, 5, 3, 3
2024/7/6, 40, 15, 20, 3, 3, 2
2024/7/7, 25, 18, 23, 4, 3, 2
2024/7/8, 38, 24, 27, 5, 5, 2
2024/7/9, 55, 21, 27, 5, 1, 2
2024/7/10, 45, 16, 21, 4, 2, 2
2024/7/11, 40, 13, 20, 5, 2, 2
2024/7/12, 22, 24, 19, 7, 4, 2
2024/7/13, 29, 27, 24, 5, 6, 2
2024/7/14, 45, 12, 15, 4, 5, 2
2024/7/15, 22, 17, 18, 5, 5, 3
2024/7/16, 37, 17, 19, 5, 2, 3
2024/7/17, 28, 18, 21, 6, 3, 3
2024/7/18, 31, 19, 15, 5, 6, 3
2024/7/19, 37, 19, 15, 5, 5, 3
2024/7/20, 31, 19, 25, 3, 4, 3
2024/7/21, 41, 20, 28, 4, 3, 3
2024/7/22, 45, 23, 38, 6, 2, 4
2024/7/23, 59, 22, 26, 4, 2, 4
2024/7/24, 67, 23, 30, 3, 2, 6
2024/7/25, 61, 11, 23, 2, , 4
2024/7/26, 26, 14, 16, 5, 2, 5
2024/7/27, 26, 12, 12, 6, 4, 4
2024/7/28, 19, 15, 20, 3, 3, 3
2024/7/29, 31, 20, 17, 5, 4, 3
2024/7/30, 36, 17, 18, 5, 5, 4
2024/7/31, 30, 20, 20, 5, 3, 3
2024/8/1, 43, 23, 22, 5, 2, 3
2024/8/2, 54, 25, 29, 5, 2, 4
2024/8/3, 52, 31, 42, 4, 3, 4
2024/8/4, 57, 30, 59, 7, 5, 3
2024/8/5, 50, 26, 55, 5, 5, 3
2024/8/6, 55, 29, 40, 7, 2, 4
2024/8/7, 63, 31, 51, 5, 7, 4
2024/8/8, 67, 35, 48, 8, 4, 3
2024/8/9, 69, 34, 43, 6, 2, 1
2024/8/10, 76, 26, 36, 6, 2, 3
2024/8/11, 53, 23, 33, 8, 2, 4
2024/8/12, 48, 19, 33, 6, 2, 4
2024/8/13, 47, 16, 31, 5, 2, 2
2024/8/14, 31, 16, 29, 5, 2, 3
2024/8/15, 30, 18, 28, 7, 2, 3
2024/8/16, 31, 22, 19, 6, 3, 3
2024/8/17, 26, 15, 23, 6, 2, 3
2024/8/18, 31, 15, 24, 5, 2, 4
2024/8/19, 34, 14, 22, 4, 2, 3
2024/8/20, 26, 11, 20, 3, 2, 2
2024/8/21, 19, 21, 17, 5, 2, 3
2024/8/22, 37, 22, 26, 5, 2, 3
2024/8/23, 53, 27, 29, 6, 2, 3
2024/8/24, 61, 19, 38, 4, 2, 2
2024/8/25, 46, 26, 37, 6, 2, 3
2024/8/26, 58, 37, 43, 8, 7, 3
2024/8/27, 72, 28, 39, 4, 2, 3
2024/8/28, 61, 24, 32, 6, 8, 3
2024/8/29, 55, 26, 34, 4, 4, 2
2024/8/30, 57, 23, 26, 6, 4, 2
2024/8/31, 49, 25, 40, 5, 4, 2
2024/9/1, 50, 25, 46, 4, 4, 2
2024/9/2, 53, 28, 46, 7, 2, 4
2024/9/3, 54, 24, 29, 6, 3, 3
2024/9/4, 50, 23, 21, 6, 3, 3
2024/9/5, 48, 17, 17, 4, 3, 3
2024/9/6, 31, 13, 17, 4, 3, 3
2024/9/7, 21, 15, 23, 5, 6, 3
2024/9/8, 31, 15, 25, 4, 4, 3
2024/9/9, 27, 22, 29, 5, 2, 3
2024/9/10, 46, 28, 37, 8, 3, 4
2024/9/11, 60, 36, 38, 7, 4, 4
2024/9/12, 70, 35, 35, 8, 2, 4
2024/9/13, 73, 29, 31, 8, 2, 4
2024/9/14, 60, 16, 23, 6, 2, 3
2024/9/15, 32, 19, 26, 4, 2, 3
2024/9/16, 48, 19, 20, 4, 2, 4
2024/9/17, 41, 20, 26, 5, 3, 4
2024/9/18, 28, 27, 28, 7, 2, 4
2024/9/19, 57, 20, 23, 5, 2, 3
2024/9/20, 52, 12, 23, 3, 2, 3
2024/9/21, 24, 15, 14, 7, 2, 5
2024/9/22, 29, 11, 14, 6, , 4
2024/9/23, 20, 12, 15, 6, 2, 5
2024/9/24, 39, 24, 23, 7, 2, 4
2024/9/25, 52, 25, 30, 7, 2, 4
2024/9/26, 46, 30, 28, 8, 2, 6
2024/9/27, 57, 28, 25, 7, 2, 4
2024/9/28, 47, 27, 32, 8, 2, 4
2024/9/29, 48, 25, 22, 7, 2, 3
2024/9/30, 45, 25, 29, 6, 2, 3
2024/4/1, 62, 32, 23, 8, 1, 2
2024/4/2, 80, 31, 20, 10, 2, 3
2024/4/3, 64, 27, 34, 8, 1, 4
2024/4/4, 64, 15, 27, 5, 1, 4
2024/4/5, 41, 14, 16, 5, 2, 3
2024/4/6, 29, 7, 10, 7, 1, 5
2024/4/7, 24, 12, 9, 9, 1, 7
2024/4/8, 36, 15, 17, 7, 1, 7
2024/4/9, 29, 23, 37, 7, 3, 6
2024/4/10, 54, 44, 41, 10, 2, 6
2024/4/11, 86, 45, 42, 10, 3, 6
2024/4/12, 93, 46, 65, 7, 6, 6
2024/4/13, 107, 42, 28, 10, 1, 5
2024/4/14, 90, 41, 36, 10, 1, 5
2024/4/15, 85, 37, 39, 10, 2, 5
2024/4/16, 73, 30, 34, 8, 1, 3
2024/4/17, 62, 12, 36, 6, 1, 3
2024/4/18, 26, 21, 23, 7, 1, 3
2024/4/19, 42, 15, 35, 6, 1, 3
2024/4/20, 36, 17, 30, 7, 1, 4
2024/4/21, 40, 27, 34, 6, 4, 3
2024/4/22, 53, 23, 24, 8, 1, 4
2024/4/23, 54, 19, 28, 6, 1, 5
2024/4/24, 41, 9, 31, 6, 1, 5
2024/4/25, 24, 14, 30, 8, 1, 5
2024/4/26, 27, 22, 32, 6, 1, 4
2024/4/27, 60, 14, 40, 4, 1, 4
2024/4/28, 37, 25, 28, 7, 2, 5
2024/4/29, 54, 24, 45, 8, 1, 6
2024/4/30, 40, 13, 30, 5, 1, 5
2024/5/1, 28, 18, 10, 5, 1, 6
